Series,"Core CPI,not seas.adj,,,","Core CPI,seas.adj,,,","CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, % y-o-y, not seas. adj.,,","CPI Price, seas. adj.,,,","CPI Price,not seas.adj,,,","Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, Price, US$, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","GDP,constant 2010 US$,millions,seas. adj.,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","J.P. Morgan Emerging Markets Bond Index(EMBI+),,,,","J.P. Morgan Emerging Markets Bond Spread (EMBI+),,,,","Months Import Cover of Foreign Reserves,,,,","Nominal Effecive Exchange Rate,,,,","Official exchange rate, LCU per USD, period average,,","Real Effective Exchange Rate,,,,","Retail Sales Volume,Index,,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Terms of Trade,,,,","Total Reserves,,,,","Unemployment rate,Percent,,,"
Series Code,CORENS,CORESA,CPTOTSAXMZGY,CPTOTSAXNZGY,CPTOTSAXN,CPTOTNSXN,DPANUSSPB,DPANUSSPF,DXGSRMRCHNSKD,DXGSRMRCHSAKD,DXGSRMRCHNSCD,DXGSRMRCHSACD,DXGSRMRCHNSXD,DXGSRMRCHSAXD,NYGDPMKTPSAKN,NYGDPMKTPSAKD,NYGDPMKTPSACN,NYGDPMKTPSACD,DMGSRMRCHNSKD,DMGSRMRCHSAKD,DMGSRMRCHNSCD,DMGSRMRCHSACD,DMGSRMRCHNSXD,DMGSRMRCHSAXD,IPTOTSAKD,IPTOTNSKD,EMBIGI,EMBIG,IMPCOV,NEER,DPANUSLCU,REER,RETSALESSA,DSTKMKTXN,DSTKMKTXD,TOT,TOTRESV,UNEMPSA_
2013 [2013],,,,2.720865063,114.0084835,114.0846328,1,1,,,24847.846,24846.40638,,,67546.128,82466.56029,95129.659,95129.659,24904.99138,24936.54979,27146.11,27175.00736,1.089962476,1.089962476,29381977941,31481958718,,636.7437805,0.167065277,96.2335215,25000,101.3828158,,,,,4540.000118,4.031594699
2013M01 [2013M01],,,,4.094013187,112.9831415,113.0936793,1,1,,,1928.952,2075.644293,,,,,,,2081.45869,2073.084449,2281.18,2317.235831,1.09595305,1.09595305,2467530520,2484895526,,728.2857143,1.220031195,95.34711413,25000,99.69601652,,,,,2827.1,4.019009029
2013M02 [2013M02],,,,3.522746066,113.0635044,113.2960362,1,1,,,2061.903,2122.572325,,,,,,,1939.913023,2208.705575,2123.23,2404.855761,1.094499586,1.094499586,2339438599,2292877357,,703.8421053,1.751789055,95.958456,25000,99.93711825,,,,,4212.8,3.938872119
2013M03 [2013M03],,,,3.044613802,113.3961159,113.7959767,1,1,,,2203.191,2064.158775,,,,,,,2023.957187,2083.278874,2213.58,2276.144151,1.093688648,1.093688648,2375229002,2474070340,,699.6,1.92123157,96.41004571,25000,101.0253576,,,,,4373,3.876630673
2013M04 [2013M04],,,,3.092982453,113.4070258,113.9983335,1,1,,,1925.022,1948.788718,,,,,,,2053.526717,2141.64259,2249.31,2343.780647,1.095338075,1.095338075,2515546598,2611704840,,678.0454545,1.988624663,96.27091364,25000,101.0517132,,,,,4660.9,3.798182773
2013M05 [2013M05],,,,3.06706852,113.435807,113.7483633,1,1,,,2049.717,1892.694553,,,,,,,2282.709216,2159.43692,2498.68,2361.937431,1.09461292,1.09461292,2545381603,2698564066,,637.6363636,1.738302752,96.34712978,25000,101.2574452,,,,,4105.762337,3.792314513
2013M06 [2013M06],,,,2.709928204,113.6175637,113.5817165,1,1,,,1977.302,1967.958247,,,,,,,2040.151725,2060.365027,2228.07,2250.110391,1.0921075,1.0921075,2456192599,2581548967,,643.05,1.667203396,96.413363,25000,101.833761,,,,,3751.391684,3.845141031
2013M07 [2013M07],,,,2.35869888,113.706372,113.5698131,1,1,,,2123.106,2118.47633,,,,,,,2091.121975,2072.549091,2277.11,2256.350121,1.088942217,1.088942217,2514522420,2769958740,,643.7727273,1.545167147,96.90108478,25000,102.0713185,,,,,3486.438078,4.043472906
2013M08 [2013M08],,,,2.215318692,114.0286635,113.7602666,1,1,,,2101.36,2053.237781,,,,,,,2248.068267,2132.255138,2443.24,2315.222445,1.086819754,1.086819754,2460094171,2710420221,,630.9090909,1.959488557,96.66963591,25000,101.9650559,,,,,4536.651888,4.131715914
2013M09 [2013M09],,,,1.66719589,114.3687636,114.4030473,1,1,,,2180.067,2174.012595,,,,,,,2027.812735,2031.087089,2199.4,2202.530523,1.084616919,1.084616919,2281500854,2547269213,,645.75,1.925052187,96.52904905,25000,101.9500974,,,,,4239.9862,4.196908508
2013M10 [2013M10],,,,2.001674031,114.8868919,114.879181,1,1,,,2122.84,2139.003532,,,,,,,2261.539168,2121.521072,2454.19,2291.674176,1.085184389,1.085184389,2437617911,2820734015,,567.9545455,1.835146867,95.69920543,25000,101.20918,,,,,4205.558684,4.143351498
2013M11 [2013M11],,,,2.267795284,115.4185019,115.3315082,1,1,,,1998.394,2135.829364,,,,,,,1988.440186,1952.505892,2155.27,2111.073698,1.083901349,1.083901349,2563107234,2802692039,,530.2222222,1.930455005,96.10929167,25000,102.3582214,,,,,4075.332787,4.225332703
2013M12 [2013M12],,,,2.696232391,115.7894514,115.5576717,1,1,,,2175.992,2154.029862,,,,,,,1866.292492,1900.118076,2022.85,2044.092182,1.083885301,1.083885301,2425816431,2687223395,,531.8571429,2.221034921,96.14696886,25000,102.2385045,,,,,4540.000118,4.368204721
2013Q1 [2013Q1],,,,,,,,,,,6194.046,6262.375393,,,16458.713,20094.31907,23019.786,23019.786,6045.328899,6365.068898,6617.99,6998.235742,1.094713761,1.094713761,,,,,,,,,,,,,,
2013Q2 [2013Q2],,,,,,,,,,,5952.041,5809.441518,,,16802.24,20513.7286,23441.324,23441.324,6376.387657,6361.444537,6976.06,6955.828469,1.094019498,1.094019498,,,,,,,,,,,,,,
2013Q3 [2013Q3],,,,,,,,,,,6404.533,6345.726706,,,17131.619,20915.86495,24238.576,24238.576,6367.002977,6235.891318,6919.75,6774.103089,1.086792963,1.086792963,,,,,,,,,,,,,,
2013Q4 [2013Q4],,,,,,,,,,,6297.226,6428.862758,,,17153.556,20942.64767,24429.973,24429.973,6116.271846,5974.145039,6632.31,6446.840056,1.08432368,1.08432368,,,,,,,,,,,,,,
2014 [2014],,,,3.59049278,118.1019499,118.1773995,1,1,,,25724.432,25661.73206,,,70105.362,85591.10986,101726.331,101726.331,25790.62514,25793.9635,27726.29,27718.78053,1.075285246,1.075285246,29843793474,31990226945,,510.494763,0.171470381,97.50283232,25000,104.8625657,,,,,4752.94986,4.293108048
2014M01 [2014M01],,,,2.954552118,116.3212873,116.3909058,1,1,,,2017.193,2179.767094,,,,,,,2161.407838,2143.919569,2335.87,2377.810888,1.081271178,1.081271178,2435787120,2457059335,,570.7619048,1.790005053,96.34082174,25000,103.3308204,,,,,4256.293503,4.701737643
2014M02 [2014M02],,,,2.906810882,116.3500467,116.5218426,1,1,,,2173.507,2248.880299,,,,,,,1820.16877,2054.41223,1967.82,2203.992878,1.083471507,1.083471507,2531719109,2481287131,,609.6315789,1.983851283,96.4294085,25000,103.6439295,,,,,4372.394098,4.77519927
2014M03 [2014M03],,,,3.151445945,116.9697332,117.3312701,1,1,,,2464.155,2340.229464,,,,,,,1998.647217,2062.201861,2165.85,2232.953651,1.084928336,1.084928336,2405789508,2523556902,,549.047619,1.758359548,96.85468667,25000,103.9423262,,,,,3926.335373,4.773824689
2014M04 [2014M04],,,,3.260963578,117.1051876,117.6764671,1,1,,,1872.826,1916.178196,,,,,,,2039.846316,2122.474031,2209.29,2296.903982,1.083989506,1.083989506,2465670823,2550877608,,454.7142857,1.469156221,97.04002136,25000,103.3691427,,,,,3374.510775,4.640944197
2014M05 [2014M05],,,,3.441002855,117.3391364,117.6288537,1,1,,,2603.522,2382.573982,,,,,,,2249.025833,2110.724204,2431.67,2280.242715,1.081435333,1.081435333,2460750233,2611189355,,354.4285714,2.113484462,96.98454477,25000,102.9461627,,,,,4819.257548,4.525364736
2014M06 [2014M06],,,,3.657210916,117.7727976,117.7597905,1,1,,,2308.447,2274.267815,,,,,,,2083.059681,2112.649638,2240.2,2272.417217,1.076611977,1.076611977,2379979960,2497524909,,370.2857143,3.193729134,97.03130857,25000,102.9249948,,,,,7257.48507,4.400729453
2014M07 [2014M07],,,,4.033682844,118.2929264,118.2359243,1,1,,,2136.732,2119.020601,,,,,,,2182.507506,2171.512124,2333.9,2322.042354,1.071031368,1.071031368,2474318933,2727946711,,424.9545455,2.97426895,96.75349717,25000,102.9637139,,,,,6906.378474,4.131501866
2014M08 [2014M08],,,,4.083059385,118.6845216,118.4739912,1,1,,,2290.399,2245.952518,,,,,,,2234.063916,2118.272064,2382.49,2256.278121,1.069186957,1.069186957,2511978373,2751659022,,477.4761905,3.431593554,96.84788667,25000,103.7204205,,,,,7742.629456,4.006155266
2014M09 [2014M09],,,,4.158931338,119.1252819,119.2000952,1,1,,,2098.531,2091.866332,,,,,,,2145.596362,2151.211284,2286.76,2292.945437,1.067109844,1.067109844,2469297881,2776144561,,426.7142857,3.700804263,97.62262841,25000,105.4140018,,,,,8485.742249,3.923049617
2014M10 [2014M10],,,,3.977092679,119.45605,119.4500655,1,1,,,2071.104,2056.380532,,,,,,,2399.691507,2234.942863,2592.37,2401.12945,1.069005742,1.069005742,2530332979,2931047808,,520.5,3.155174624,98.10256783,25000,106.6479183,,,,,7575.982708,3.921035379
